Symbol  	Code 	UTF‑8 	Name
◳ 	25F3 	E2 97 B3	WHITE SQUARE WITH UPPER RIGHT QUADRANT
◴ 	25F4 	E2 97 B4	WHITE CIRCLE WITH UPPER LEFT QUADRANT
◵ 	25F5 	E2 97 B5	WHITE CIRCLE WITH LOWER LEFT QUADRANT
◶ 	25F6 	E2 97 B6	WHITE CIRCLE WITH LOWER RIGHT QUADRANT
◷ 	25F7 	E2 97 B7	WHITE CIRCLE WITH UPPER RIGHT QUADRANT
◸ 	25F8 	E2 97 B8	UPPER LEFT TRIANGLE
◹ 	25F9 	E2 97 B9	UPPER RIGHT TRIANGLE
◺ 	25FA 	E2 97 BA	LOWER LEFT TRIANGLE
◻ 	25FB 	E2 97 BB	WHITE MEDIUM SQUARE
◼ 	25FC 	E2 97 BC	BLACK MEDIUM SQUARE
◽ 	25FD 	E2 97 BD	WHITE MEDIUM SMALL SQUARE
◾ 	25FE 	E2 97 BE	BLACK MEDIUM SMALL SQUARE
◿ 	25FF 	E2 97 BF	LOWER RIGHT TRIANGLE
